,EquipoAnf,EquipoVis,ResulAnf,ResulVis,Fecha,Estadio,Ciudad,Arbitro,Provincia,tmed,prec
6339,Espanyol,Las Palmas,4,3,2017-03-10,Power8 Stadium,Cornellá de Llobregat,Munuera Montero,BARCELONA,15.816666666666668,0.0
6340,Granada,Atlético de Madrid,0,1,2017-03-11,Estadio Nuevo Los Carmenes,Granada,Hernández Hernández,GRANADA,16.775,0.075
6341,Málaga,Alavés,1,2,2017-03-11,La Rosaleda,Málaga,Undiano Mallenco,MALAGA,20.0,0.0
6342,Sevilla,Leganés,1,1,2017-03-11,Estadio Ramón Sánchez-Pizjuán,Sevilla,González González,SEVILLA,17.32,0.0
6343,Valencia,Sporting de Gijón,1,1,2017-03-11,Camp de Mestalla,Valencia,Álvarez Izquierdo,VALENCIA,15.142857142857142,0.014285714285714287
6344,Deportivo de La Coruña,Barcelona,2,1,2017-03-12,Estadio Municipal de Riazor,La Coruña,Fernández Borbalán,A CORUÑA,10.366666666666667,1.8555555555555554
6345,Real Sociedad,Athletic Club,0,2,2017-03-12,Anoeta,San Sebastián,Sánchez Martínez,GIPUZKOA,10.950000000000001,35.4
6346,Real Madrid,Betis,2,1,2017-03-12,Estadio Santiago Bernabeu,Madrid,Mateu Lahoz,MADRID,9.141666666666666,1.991666666666667
6347,Celta de Vigo,Villarreal,0,1,2017-03-12,Balaidos,Vigo,Melero López,PONTEVEDRA,10.8,1.05
6348,Osasuna,Eibar,1,1,2017-03-13,Estadio El Sadar,Pamplona,Jaime Latre,NAVARRA,9.440000000000001,0.76
6349,Las Palmas,Villarreal,1,0,2017-03-17,Estadio de Gran Canaria,Las Palmas de Gran Canaria,Bikandi Garrido,LAS PALMAS,18.962500000000002,1.425
6350,Athletic Club,Real Madrid,1,2,2017-03-18,San Mamés,Bilbao,Jaime Latre,BIZKAIA,11.72,0.0
6351,Eibar,Espanyol,1,1,2017-03-18,Estadio Municipal de Ipurua,Eibar,Fernández Borbalán,GIPUZKOA,9.733333333333333,0.0
